technqiue,label,tactic
T1595,Active Scanning,
T1595.002,Network Scanning,Reconnaissance
T1190,Exploit Public-Facing Application,Initial Access
T1210,Exploitation of Remote Services,
T1593.003,Search Open Websites/Domains: Code Repositories,Reconnaissance
T1110.001,Brute Force: Password Guessing,Credential Access
T1059.004,Command and Scripting Interpreter: Unix Shell,Execution
T1078,Valid Accounts,"Defense Evasion, Persistence, Privilege Escalation, Initial Access"
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,Credential Access
T1588.002,Obtain Capabilities: Tool,
T1203,Exploitation for Client Execution,Execution
T1563.001,Remote Service Session Hijacking: SSH Hijacking,Lateral Movement
T1210,Exploitation of Remote Services,
T1069.001,Permission Groups Discovery: Local Groups,
T1059.001,Command and Scripting Interpreter: PowerShell,Execution
T1574.002,Hijack Execution Flow: DLL Side-Loading,
T1053.005,Scheduled Task/Job: Scheduled Task,"Execution, Persistence, Privilege Escalation"
T1059,Command and Scripting Interpreter,Execution
T1059.006,Command and Scripting Interpreter: Python,Execution
T1003,OS Credential Dumping,Credential Access
T1082,System Information Discovery,Discovery
T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,"Privilege Escalation, Defense Evasion"
T1046,Network Service Discovery,Discovery
T1068,Exploitation for Privilege Escalation,Privilege Escalation
T1021.004,Remote Services: SSH,Lateral Movement
T1087.001,Account Discovery: Local Account,Discovery
T1601,Modify System Image,Defense Evasion
T1574.006,Hijack Execution Flow: Dynamic Linker Hijacking,"Persistence, Privilege Escalation, Defense Evasion"
T1546.004,Event Triggered Execution: Unix Shell Configuration Modification," Privilege Escalation, Persistence"
T1574,Hijack Execution Flow,"Persistence, Privilege Escalation, Defense Evasion"
T1110,Brute Force,Credential Access
T1003,OS Credential Dumping,Credential Access
T1049,System Network Connections Discovery,Discovery
T1057,Process Discovery,Discovery
T1040,Network Sniffing,"Credential Access, Discovery"
T1083,File and Directory Discovery,Discovery
T1027.003,Obfuscated Files or Information: Steganography,Defense Evasion
T1204.002,User Execution: Malicious File,Execution
T1222,File and Directory Permissions Modification,Defense Evasion
T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,"Privilege Escalation, Defense Evasion"
T1552.001,Unsecured Credentials: Credentials In Files,Credential Access
T1216.001,System Script Proxy Execution: PubPrn,Defense Evasion
T1505.003,Server Software Component: Web Shell,Persistence
T1053.003,Scheduled Task/Job: Cron,"Execution, Persistence, Privilege Escalation"
 T1204.002 ,User Execution: Malicious File,Execution
T1611,Escape to Host,Privilege Escalation
T1490,Inhibit System Recovery,Impact
T1211,Exploitation for Defense Evasion,Defense Evasion
T1486,Data Encrypted for Impact,Impact
 T1570,Lateral Tool Transfer,Lateral Movement
T1070.004 ,Indicator Removal: File Deletion,Defense Evasion
T1560,Archive Collected Data,Collection
T1021,Remote Services,Lateral Movement
T1105,Ingress Tool Transfer,Command and Control
T1590,Gather Victim Network Information,Reconnaissance
T1213,Data from Information Repositories,Collection
T1140,Deobfuscate/Decode Files or Information,Defense Evasion
T1005,Data from Local System,Collection
T1102.001,Web Service: Dead Drop Resolver,Command and Control
T1027,Obfuscated Files or Information,Defense Evasion
T1537,Transfer Data to Cloud Account,Exfiltration
T1552.004,Unsecured Credentials: Private Keys,Credential Access
T1087.002,Account Discovery: Domain Account,Discovery
T1135,Network Share Discovery,Discovery
T1021.002,Remote Services: SMB/Windows Admin Shares,Lateral Movement
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,Credential Access
T1136,Create Account,Persistence
T1556.003,Modify Authentication Process: Pluggable Authentication Modules,"Credential Access, Defense Evasion, Persistence"
T1571,Non-Standard Port,Command and Control
T1584,Compromise Infrastructure,Discovery
T1090,Proxy,Command and Control
T1599.001,Network Boundary Bridging: Network Address Translation Traversal,Defense Evasion
T1555.003,Credentials from Password Stores: Credentials from Web Browsers,Credential Access
T1550.004,Use Alternate Authentication Material: Web Session Cookie,"Defense Evasion, Lateral Movement"
T1499.002,Endpoint Denial of Service: Service Exhaustion Flood,Impact
T1563.001,Remote Service Session Hijacking: SSH Hijacking,Lateral Movement
T1562.001,Impair Defenses: Disable or Modify Tools,Defense Evasion
T1485,Data Destruction,Impact
T1129,Shared Modules,Execution
