technique,name_label,,
T1595,Scanning,T1595,Active Scanning
T1595.002,Reconnaissance,T1595.002,Network Scanning
T1190,Exploitation,T1190,Exploit Public-Facing Application
T1593.003,Searching,T1593.003,Search Open Websites/Domains: Code Repositories
T1110.001,Guessing,T1110.001,Brute Force: Password Guessing
T1059.004,Scripting,T1059.004,Command and Scripting Interpreter: Unix Shell
T1078,Masquearading,T1078,Valid Accounts
T1003.008,Dumping,T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow
T1588.002,Tooling,T1588.002,Obtain Capabilities: Tool
T1203,Executing,T1203,Exploitation for Client Execution
T1210,Infiltrating,T1210,Exploitation of Remote Services
T1069.001,Discovering,T1069.001,Permission Groups Discovery: Local Groups
T1059.001,PowerShell,T1059.001,Command and Scripting Interpreter: PowerShell
T1574.002,SideLoading,T1574.002,Hijack Execution Flow: DLL Side-Loading
T1053.005,Scheduling,T1053.005,Scheduled Task/Job: Scheduled Task
T1059,Commanding,T1059,Command and Scripting Interpreter
T1059.006,Python,T1059.006,Command and Scripting Interpreter: Python
T1003,Harvesting,T1003,OS Credential Dumping
T1082,Informing,T1082,System Information Discovery
T1548.003,Elevating,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching
T1046,Networking,T1046,Network Service Discovery
T1068,Escalating,T1068,Exploitation for Privilege Escalation
T1021.004,SSHing,T1021.004,Remote Services: SSH
T1087.001,Accounting,T1087.001,Account Discovery: Local Account
T1601,Modifying,T1601,Modify System Image
T1574.006,Linking,T1574.006,Hijack Execution Flow: Dynamic Linker Hijacking
T1546.004,Triggering,T1546.004,Event Triggered Execution: Unix Shell Configuration Modification
T1574,Flowing,T1574,Hijack Execution Flow
T1110,Forcing,T1110,Brute Force
T1049,Connecting,T1049,System Network Connections Discovery
T1057,Processing,T1057,Process Discovery
T1040,Sniffing,T1040,Network Sniffing
T1083,Filing,T1083,File and Directory Discovery
T1027.003,Hiding,T1027.003,Obfuscated Files or Information: Steganography
T1222,Permitting,T1222,File and Directory Permissions Modification
T1548.001,Setting,T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid
T1552.001,Credentialing,T1552.001,Unsecured Credentials: Credentials In Files
T1216.001,Proxying,T1216.001,System Script Proxy Execution: PubPrn
T1505.003,Webbing,T1505.003,Server Software Component: Web Shell
T1053.003,Croning,T1053.003,Scheduled Task/Job: Cron
T1204.002,Initiating, T1204.002 ,User Execution: Malicious File
T1611,Escaping,T1611,Escape to Host
T1490,Inhibiting,T1490,Inhibit System Recovery
T1211,Evading,T1211,Exploitation for Defense Evasion
T1486,Encrypting,T1486,Data Encrypted for Impact
T1570,Transferring, T1570,Lateral Tool Transfer
T1070.004,Deleting,T1070.004 ,Indicator Removal: File Deletion
T1560,Archiving,T1560,Archive Collected Data
T1021,Servicing,T1021,Remote Services
T1105,Ingressing,T1105,Ingress Tool Transfer
T1590,Gathering,T1590,Gather Victim Network Information
T1213,Repositoring,T1213,Data from Information Repositories
T1140,Deobfuscating,T1140,Deobfuscate/Decode Files or Information
T1005,Locating,T1005,Data from Local System
T1102.001,Resolving,T1102.001,Web Service: Dead Drop Resolver
T1027,Obfuscating,T1027,Obfuscated Files or Information
T1537,Clouding,T1537,Transfer Data to Cloud Account
T1552.004,Keying,T1552.004,Unsecured Credentials: Private Keys
T1087.002,Domaining,T1087.002,Account Discovery: Domain Account
T1135,Sharing,T1135,Network Share Discovery
T1021.002,SMBing,T1021.002,Remote Services: SMB/Windows Admin Shares
T1136,Creating,T1136,Create Account
T1556.003,Authenticating,T1556.003,Modify Authentication Process: Pluggable Authentication Modules
T1571,Porting,T1571,Non-Standard Port
T1584,Compromising,T1584,Compromise Infrastructure
T1090,Relaying,T1090,Proxy
T1599.001,Bridging,T1599.001,Network Boundary Bridging: Network Address Translation Traversal
T1555.003,Storing,T1555.003,Credentials from Password Stores: Credentials from Web Browsers
T1550.004,Cookieing,T1550.004,Use Alternate Authentication Material: Web Session Cookie
T1499.002,Flooding,T1499.002,Endpoint Denial of Service: Service Exhaustion Flood
T1563.001,Overriding,T1563.001,Remote Service Session Hijacking: SSH Hijacking
T1562.001,Impairing,T1562.001,Impair Defenses: Disable or Modify Tools
T1485,Destroying,T1485,Data Destruction
T1129,Modularizing,T1129,Shared Modules
T1592,Hosting,,Gather Victim Host Information
T1048,Exfiltrating,,Exfiltration Over Alternative Protocol
T1509,Diverging,,mobile
